,question,answer,category
0,‖,A,C
1,‖,A,C
2,Gln,A,C
3,Q,A,C
4,‖,A,C
5,Gln,A,C
6,Gln,A,C
7,‖,A,C
8,Q,A,C
9,Q,A,C
10,Gln,A,C
11,Q,A,C
12,‖,A,C
13,Q,A,C
14,‖,A,C
15,Q,A,C
16,‖,A,C
17,‖,A,C
18,Q,A,C
19,Q,A,C
20,‖,A,C
21,‖,A,C
22,Q,A,C
23,Gln,A,C
24,‖,A,C
25,Q,A,C
26,Q,A,C
27,‖,A,C
28,Gln,A,C
29,Gln,A,C
30,Q,A,C
31,Gln,A,C
32,Gln,A,C
33,‖,A,C
34,‖,A,C
35,Q,A,C
36,Q,A,C
37,Gln,A,C
38,Q,A,C
39,Gln,A,C
40,‖,A,C
41,Gln,A,C
42,‖,A,C
43,Q,A,C
44,Q,A,C
45,‖,A,C
46,Q,A,C
47,Q,A,C
48,Q,A,C
49,Gln,A,C
50,Q,A,C
51,Q,A,C
52,Q,A,C
53,‖,A,C
54,Gln,A,C
55,Q,A,C
56,Q,A,C
57,Q,A,C
58,Q,A,C
59,Q,A,C
60,‖,A,C
61,‖,A,C
62,‖,A,C
63,Q,A,C
64,Q,A,C
65,Gln,A,C
66,‖,A,C
67,Gln,A,C
68,Q,A,C
69,‖,A,C
70,‖,A,C
71,Gln,A,C
72,Gln,A,C
73,‖,A,C
74,Q,A,C
75,Q,A,C
76,Gln,A,C
77,‖,A,C
78,Gln,A,C
79,‖,A,C
80,Gln,A,C
81,‖,A,C
82,‖,A,C
83,Q,A,C
84,‖,A,C
85,‖,A,C
86,‖,A,C
87,Gln,A,C
88,‖,A,C
89,Q,A,C
90,Q,A,C
91,‖,A,C
92,Q,A,C
93,‖,A,C
94,Q,A,C
95,Gln,A,C
96,Gln,A,C
97,Gln,A,C
98,Gln,A,C
99,Gln,A,C
100,میتوان پروفایلی ایجاد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
101,نمیتوان پروفایلی ایجادد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
102,نمیتوان پروفایلپروفایل ايجاد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
103,ميتوان پروفایل ایجادد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
104,نمیتوان پروفایلی ايجاد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
105,میتوان پروفایلی ايجاد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
106,نمیتوان پروفایلپروفایل ايجاد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
107,نمیتوان پروفایل ايجاد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
108,نمیتوان پروفایلی ايجاد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
109,نمیتوان پروفایل ايجاد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
110,نمیتوان پروفایلپروفایل ایجادد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
111,ميتوان پروفایلی ایجادد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
112,میتوان پروفایل ایجادد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
113,نمیتوان پروفایلی ایجاد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
114,ميتوان پروفایل ایجادد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
115,نمیتوان پروفایل ایجاد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
116,ميتوان پروفایلی ایجادد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
117,نمیتوان پروفایل ایجادد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
118,ميتوان پروفایلی ايجاد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
